sp,taxo,group_kernels,group_detection,group_atlas
Northern Harrier,2655,raptors,,
Northern Harrier,2657,raptors,,
Sharp-shinned Hawk,2807,raptors,,
Sharp-shinned Hawk,2812,raptors,,
Cooper's Hawk,2821,raptors,,
Sharp-shinned/Cooper's Hawk,2822,raptors,,
Northern Goshawk,2827.2,raptors,,
Northern Goshawk,2829,raptors,,
Cooper's Hawk/Northern Goshawk,2830.5,raptors,,
Accipiter sp.,2832,raptors,,
Bald Eagle,2881,raptors,,
Golden/Bald Eagle,2883.3,raptors,,
Harris's Hawk,2934,raptors,,
Red-shouldered Hawk,2959,raptors,,
Red-shouldered Hawk,2959.2,raptors,,
Broad-winged Hawk,2966,raptors,,
Broad-winged Hawk,2967,raptors,,
Red-shouldered/Broad-winged Hawk,2973.5,raptors,,
Swainson's Hawk,2984,raptors,,
Zone-tailed Hawk,2986,raptors,,
Red-tailed Hawk,2989,raptors,,
Red-tailed Hawk,2990,raptors,,
Red-tailed Hawk,2992,raptors,,
Red-tailed Hawk,2993,raptors,,
Red-tailed Hawk,2994,raptors,,
Red-tailed Hawk,2995,raptors,,
Rough-legged Hawk,3007,raptors,,
Ferruginous Hawk,3010,raptors,,
Buteo sp.,3038,raptors,,
Buteo/eagle sp.,3040,raptors,,
hawk sp.,3041,raptors,,
eagle sp.,3042,raptors,,
Yellow Rail,3257,shorebirds_waders,,
Yellow Rail,3258,shorebirds_waders,,
Black Rail,3299,shorebirds_waders,,
Corn Crake,3367,shorebirds_waders,,
King Rail,3394.5,shorebirds_waders,,
King Rail,3394.6,shorebirds_waders,,
Clapper Rail,3395,shorebirds_waders,,
